cat_id,cat_name,artist_id,artist_name,genres,face_count,face_id,face_pitch,face_yaw,face_roll,face_gender,face_glasses,face_height,face_width,face_beard,face_moustache,face_sideburns,face_smile
pop,Pop,1LOB7jTeEV14pHai6EXSzF,Cash Cash,big room;dance pop;edm;electro house;electropowerpop;indie poptimism;pop;pop punk;tropical house,3,ff72a8a8-9988-47b0-85ef-5fbfd4ee1f50,0.0,16.5,-15.0,male,Sunglasses,79,79,0.1,0.2,0.2,0.003
pop,Pop,6jsjhAEteAlY0vCiLvMLBA,ROZES,indie poptimism;vapor soul,1,ea22b2bd-a529-4b4b-89e2-4f51ecea1fbe,0.0,-2.7,23.0,female,NoGlasses,272,272,0.0,0.0,0.0,0.001
pop,Pop,49tQo2QULno7gxHutgccqF,LANY,indie poptimism;pop,1,cab18d5b-eeb8-4a51-9343-4d837bf64f03,0.0,-19.3,-27.5,male,ReadingGlasses,93,93,0.1,0.5,0.2,0.0
pop,Pop,7wg1qvie3KqDNQbAkTdbX0,Louis The Child,edm;electro house;electronic trap;indie poptimism;tropical house;vapor soul;vapor twitch,0,,,,,,,,,,,,
pop,Pop,6wKxOKEA3K6R2UZ3COLXEY,Elohim,indie poptimism;indie psych-rock;indietronica;vapor soul,0,,,,,,,,,,,,
pop,Pop,6cEuCEZu7PAE9ZSzLLc2oQ,R3hab,big room;dance pop;deep big room;dutch house;edm;electro house;house;progressive electro house;tropical house,1,1e54af1c-ff7b-434f-84ac-399d7bae23ee,0.0,-0.3,-16.1,male,Sunglasses,48,48,0.4,0.4,0.3,0.0
pop,Pop,1Fr6agZ6iSM5Ynn2k4C8sc,VÉRITÉ,brooklyn indie;indie poptimism;indietronica;metropopolis;pop;tropical house;vapor pop;vapor soul,1,6d787bd8-c38e-432c-99b6-1316e5495dc9,0.0,23.7,-12.8,female,NoGlasses,194,194,0.0,0.0,0.0,0.0
pop,Pop,7r2uG6BlFXKcwmh9ItqlII,Wrabel,indie poptimism,1,10503e9c-bdf7-4b24-ab3b-097dd098191c,0.0,-15.8,9.9,male,NoGlasses,210,210,0.5,0.5,0.3,0.001
pop,Pop,31Eea8xaK1xAMyJy2iWE0z,Eden Prince,,0,,,,,,,,,,,,
pop,Pop,5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,,1,02e1ca5c-28a3-4bc7-a5ec-aa9252d01503,0.0,2.3,-18.7,female,NoGlasses,131,131,0.0,0.0,0.0,0.0
pop,Pop,1qGohIp3a4kh1Euymx0pyL,Ocean Park Standoff,,0,,,,,,,,,,,,
pop,Pop,3e7awlrlDSwF3iM0WBjGMp,Little Mix,dance pop;pop;post-teen pop;talent show,2,686d4861-5e58-4f19-91ff-879b431248d3,0.0,-9.1,-7.4,female,NoGlasses,39,39,0.0,0.0,0.0,0.89
pop,Pop,3e7awlrlDSwF3iM0WBjGMp,Little Mix,dance pop;pop;post-teen pop;talent show,2,32805fac-f51e-485d-9703-8ae86416085a,0.0,-7.7,-2.8,female,NoGlasses,38,38,0.0,0.0,0.0,0.007
pop,Pop,2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,big room;dance pop;deep big room;edm;electro house;pop;progressive electro house;progressive house;tropical house,2,6a9dc2b4-0279-4ad4-bb7d-c7f9ebfc9645,0.0,7.5,-0.6,male,NoGlasses,103,103,0.7,0.4,0.2,0.727
pop,Pop,2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,big room;dance pop;deep big room;edm;electro house;pop;progressive electro house;progressive house;tropical house,2,9852209d-e918-47c0-8adc-adb9c7f0350e,0.0,-4.6,-0.8,male,NoGlasses,91,91,0.4,0.4,0.2,0.0
pop,Pop,6KZDXtSj0SzGOV705nNeh3,Kid Ink,dance pop;dwn trap;hip hop;pop;pop rap;r&b;rap;southern hip hop;trap music,1,39a9e082-31a4-47bd-9deb-d0e1d590d200,0.0,-0.7,4.4,male,NoGlasses,107,107,0.2,0.3,0.1,0.002
pop,Pop,6EzGm3fYBR8QcdIZ0xvHsl,Basic Tape,,2,c5cca61f-74e5-474a-9127-a6e7a0daa1ce,0.0,-21.6,0.9,male,NoGlasses,120,120,0.3,0.3,0.0,0.0
pop,Pop,6EzGm3fYBR8QcdIZ0xvHsl,Basic Tape,,2,d1912505-8de3-43c2-9ebd-c8d042c9f545,0.0,-6.7,-5.2,male,NoGlasses,107,107,0.1,0.1,0.0,0.0
pop,Pop,6wMr4zKPrrR0UVz08WtUWc,Black Coffee,kwaito house,0,,,,,,,,,,,,
pop,Pop,1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,deep indie r&b;indie r&b,1,d1d6cb38-8fce-4e78-8030-0b7ba67d323a,0.0,-14.8,10.1,female,NoGlasses,140,140,0.0,0.0,0.0,0.045
pop,Pop,3bhu7P5PfngueRHiB9hjcx,Elle King,pop,1,ed312a05-e13c-4995-b7b5-b5f841fcc611,0.0,2.7,8.9,female,NoGlasses,309,309,0.0,0.0,0.0,0.004
pop,Pop,4YXycRbyyAE0wozTk7QMEq,Matoma,edm;pop;tropical house,1,15a738e3-8a84-4a57-8bb7-e24fbbd3fd18,0.0,25.4,-12.6,male,NoGlasses,98,98,0.1,0.0,0.0,1.0
pop,Pop,0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,pop,2,3c48a1f5-4af1-4a38-b10f-b7376226f523,0.0,4.7,14.4,male,ReadingGlasses,82,82,0.3,0.3,0.2,0.0
pop,Pop,0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,pop,2,2cccda35-cba7-4133-86b2-24010ba619c5,0.0,0.3,0.4,male,NoGlasses,74,74,0.6,0.6,0.8,0.004
pop,Pop,5M0lbkGluOPXLeFjApw8r8,D.R.A.M.,dwn trap;pop rap;rap;southern hip hop;trap music,1,e2e6a65f-0628-4eba-be22-ddf6d40dece8,0.0,6.2,-3.2,male,ReadingGlasses,78,78,0.5,0.5,0.6,0.987
pop,Pop,7sgWBYtJpblXpJl2lU5WVs,Electric Guest,alternative dance;indie pop;indie poptimism;indie psych-rock;indietronica;la indie;shimmer pop,2,c5696d76-0f0e-4624-b789-a9f0614c1746,0.0,1.2,1.4,male,NoGlasses,120,120,0.2,0.1,0.1,0.0
pop,Pop,7sgWBYtJpblXpJl2lU5WVs,Electric Guest,alternative dance;indie pop;indie poptimism;indie psych-rock;indietronica;la indie;shimmer pop,2,f8c89ae5-cc40-4dc0-9417-e62e82f3d8f0,0.0,-7.2,-14.4,male,NoGlasses,110,110,0.2,0.0,0.0,0.0
pop,Pop,2o8lOQRjzsSC8UdbNN88HN,mansionz,,0,,,,,,,,,,,,
pop,Pop,28MAlskHukBSm7mnqXpL0A,Dennis Rodman,,0,,,,,,,,,,,,
pop,Pop,7KUri7klyLaIFXLcuuOMCd,Stargate,tropical house,2,2527dabb-552e-4284-82c7-bbc13b3200e3,0.0,-2.7,11.8,male,NoGlasses,251,251,0.7,0.7,0.2,0.001
